DELPDSM|AASA320    |FTIISPC  |FT_T_ISPC                               |DB2 TABLE           |INPUT          |READ FROM FTIISPC                                                               |
DELPDSM|AASA321    |HOLD1    |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE HOLD1                                                      |
DELPDSM|AASA321    |HOLD1    |TEMPORARY HOLD FILE                     |I/O FILE            |INPUT          |JOIN HOLD1 AND ACMBALP ON ALL ACC                                               |
DELPDSM|AASA321    |ACMBALP  |IMS                                     |IMS DATABASE        |INPUT          |JOIN HOLD1 AND ACMBALP ON ALL ACC                                               |
DELPDSM|AASA320    |ACMBALP  |IMS                                     |IMS DATABASE        |INPUT          |READ FROM ACMBALP                                                               |
DELPDSM|AASA321    |EXTRACT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE EXTRACT                                                    |
DELPDSM|AASA321    |REALSEC  |IMS                                     |IMS DATABASE        |INPUT          |READ FROM REALSEC                                                               |
DELPDSM|AASA322    |RESULT2  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE RESULT2                                                    |
DELPDSM|AASA322    |IC#TIS   |XFOCUS                                  |I/O FILE            |INPUT          |READ FROM IC#TIS                                                                |
DELPDSM|AASA322    |RESULT1  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE RESULT1                                                    |
DELPDSM|AASA322    |INPTSEC  |FIX                                     |I/O FILE            |INPUT          |READ FROM INPTSEC                                                               |
DELPDSM|AASA322    |DATAEXTR |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE DATAEXTR                                                   |
DELPDSM|AASA322    |FOCUS07  |FOCUS_TEST_07                           |DB2 TABLE           |INPUT          |READ FROM FOCUS07                                                               |
DELPDSM|AASA322    |PRODOUT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE PRODOUT                                                    |
DELPDSM|AASA322    |IC#TIS   |XFOCUS                                  |I/O FILE            |INPUT          |READ FROM IC#TIS                                                                |
DELPDSM|AASA322    |OUTPUT   |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE OUTPUT                                                     |
DELPDSM|AASA320    |FTIISPC  |FT_T_ISPC                               |DB2 TABLE           |INPUT          |READ FROM FTIISPC                                                               |
COBDB2|AASA321    |HOLD1    |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE HOLD1                                                      |
COBDB2|AASA321    |HOLD1    |TEMPORARY HOLD FILE                     |I/O FILE            |INPUT          |JOIN HOLD1 AND ACMBALP ON ALL ACC                                               |
COBDB2|AASA321    |ACMBALP  |IMS                                     |IMS DATABASE        |INPUT          |JOIN HOLD1 AND ACMBALP ON ALL ACC                                               |
COBDB2|AASA320    |ACMBALP  |IMS                                     |IMS DATABASE        |INPUT          |READ FROM ACMBALP                                                               |
COBDB2|AASA321    |EXTRACT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE EXTRACT                                                    |
COBDB2|AASA321    |REALSEC  |IMS                                     |IMS DATABASE        |INPUT          |READ FROM REALSEC                                                               |
COBDB2|AASA322    |RESULT2  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE RESULT2                                                    |
COBDB2|AASA322    |IC#TIS   |XFOCUS                                  |I/O FILE            |INPUT          |READ FROM IC#TIS                                                                |
COBDB2|AASA322    |RESULT1  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE RESULT1                                                    |
COBDB2|AASA322    |INPTSEC  |FIX                                     |I/O FILE            |INPUT          |READ FROM INPTSEC                                                               |
COBDB2|AASA322    |DATAEXTR |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE DATAEXTR                                                   |
COBDB2|AASA322    |FOCUS07  |FOCUS_TEST_07                           |DB2 TABLE           |INPUT          |READ FROM FOCUS07                                                               |
COBDB2|AASA322    |PRODOUT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE PRODOUT                                                    |
COBDB2|AASA322    |IC#TIS   |XFOCUS                                  |I/O FILE            |INPUT          |READ FROM IC#TIS                                                                |
COBDB2|AASA322    |OUTPUT   |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |WRITE OUTPUT IN FILE OUTPUT                                                     |
