JFOC01   |FOCPG01S |FTIISPC  |FT_T_ISPC                               |DB2 TABLE           |INPUT          |1...READ FROM FTIISPC                                                               |                                                                                |
JFOC01   |FOCPG01S |HOLD1    |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE HOLD1                                                      |                                                                                |
JFOC01   |FOCPG01S |HOLD1    |TEMPORARY HOLD FILE                     |I/O FILE            |INPUT          |3...JOIN HOLD1 AND ACMBALP ON ALL ACC                                               |                                                                                |
JFOC01   |FOCPG01S |ACMBALP  |IMS                                     |IMS DATABASE        |INPUT          |4...JOIN HOLD1 AND ACMBALP ON ALL ACC                                               |                                                                                |
JFOC01   |FOCPG01S |ACMBALP  |IMS                                     |IMS DATABASE        |INPUT          |5...READ FROM ACMBALP                                                               |                                                                                |
JFOC01   |FOCPG01S |EXTRACT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |6...WRITE OUTPUT IN FILE EXTRACT                                                    |BETA03.FOCPG01.EXTRACT                                                          |
JFOC01   |FOCPG11S |FOCUS07  |FOCUS_TEST_07                           |DB2 TABLE           |INPUT          |1...READ FROM FOCUS07                                                               |                                                                                |
JFOC01   |FOCPG11S |PRODOUT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE PRODOUT                                                    |                                                                                |
JFOC01   |FOCPG12S |FOCUS07  |FOCUS_TEST_07                           |DB2 TABLE           |INPUT          |1...READ FROM FOCUS07                                                               |                                                                                |
JFOC01   |FOCPG12S |PRODOUT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE PRODOUT                                                    |                                                                                |
JFOC01   |FOCPG13S |FOCUS07  |FOCUS_TEST_07                           |DB2 TABLE           |INPUT          |1...READ FROM FOCUS07                                                               |                                                                                |
JFOC01   |FOCPG13S |PRODOUT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE PRODOUT                                                    |                                                                                |
JFOC01   |FOCPG14S |FOCUS07  |FOCUS_TEST_07                           |DB2 TABLE           |INPUT          |1...READ FROM FOCUS07                                                               |                                                                                |
JFOC01   |FOCPG14S |PRODOUT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE PRODOUT                                                    |                                                                                |
JFOC01   |FOCPG19S |FOCUS07  |FOCUS_TEST_07                           |DB2 TABLE           |INPUT          |1...READ FROM FOCUS07                                                               |                                                                                |
JFOC01   |FOCPG19S |PRODOUT  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE PRODOUT                                                    |                                                                                |
JFOC02   |FOCPG02S |REALSEC  |IMS                                     |IMS DATABASE        |INPUT          |1...READ FROM REALSEC                                                               |                                                                                |
JFOC02   |FOCPG02S |RESULT2  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE RESULT2                                                    |BETA03.FOCPG02.RESULT2                                                          |
JFOC03   |FOCPG03S |IC#TIS   |XFOCUS                                  |I/O FILE            |INPUT          |1...READ FROM IC#TIS                                                                |                                                                                |
JFOC03   |FOCPG03S |RESULT1  |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE RESULT1                                                    |BETA03.FOCPG03.RESULT                                                           |
JFOC03   |FOCPG03S |INPTSEC  |FIX                                     |I/O FILE            |INPUT          |3...READ FROM INPTSEC                                                               |TIS.FOC.INPTSEC                                                                 |
JFOC03   |FOCPG03S |DATAEXTR |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |4...WRITE OUTPUT IN FILE DATAEXTR                                                   |BETA03.FOCPG03.DATAEXTR                                                         |
JFOC03   |FOCPG31S |IC#TIS   |XFOCUS                                  |I/O FILE            |INPUT          |1...READ FROM IC#TIS                                                                |                                                                                |
JFOC03   |FOCPG31S |OUTPUT   |TEMPORARY HOLD FILE                     |I/O FILE            |OUTPUT         |2...WRITE OUTPUT IN FILE OUTPUT                                                     |                                                                                |

